entorno,nombre,etapa,tipo,area_responsable,descripcion,monto_contrato,comuna,barrio,direccion,lat,lng,fecha_inicio,fecha_fin_inicial,plazo_meses,porcentaje_avance,imagen_1,licitacion_oferta_empresa,licitacion_anio,contratacion_tipo,nro_contratacion,cuit_contratista,expediente-numero
Parque Roca,Parque Roca: Obras Complementarias Para Piletas De Natacion - Parque Roca Sector C,Finalizada,Espacio Publico,Corporacion Buenos Aires Sur,"Se Trata De Mejorar Los Cercos, Pisos, Pintura De Pileta A Fin De Cumplir Con Las Normas De Habilitacion Para El Programa De Colonias De Verano",285872.0,8,villa soldati,"roca, cnel. av. 4490","-34,67659628","-58,44815456",2016-01-12,2016-12-31,0,100,cdn2.buenosaires.gob.ar/baobras/corporacionsur2/Obrascomplementariasparapiletasdenataci%C3%B3nPRocaSectorC_foto1.jpg,SOLYEWENLTDA,2016,Contratacion Directa,38-CBAS-2016,30709272981,nan
Parque Roca,Parque Roca: Cerco En Lago - Parque Roca Sector C,Finalizada,Espacio Publico,Corporacion Buenos Aires Sur,Realizacion De Cerco Perimetral Al Lago Soldati A Fin De Cumplir Con Las Normas De Habilitacion Para El Programa De Colonias De Verano,351364.0,8,villa soldati,"roca, cnel. av. 4490","-34,67659628","-58,44815456",2016-01-12,2016-12-31,0,100,cdn2.buenosaires.gob.ar/baobras/corporacionsur2/CercoenlagoPRocaSectorC-_foto1.jpg,ANTONIOALAKLTDA,2016,Contratacion Directa,37-CBAS-2016,30709930385,nan
Barrio Los Piletones,Barrio Los Piletones: Ejecucion De Calle De Enlace Entre El Complejo Habitacional Los Piletones Y Av. Asturias,Finalizada,Hidraulica E Infraestructura,Corporacion Buenos Aires Sur,"Se Trata De Ejecutar Una Calle Que Vincule Al Complejo Habitacional Con La Av. Asturias. Hormigon Armado, Cordones Y Desagi 1/4es Pluviales",2014379.0,8,villa soldati,plumerillo y asturias av (no oficial),"-34,66580568","-58,45636583",2016-11-24,2017-01-23,2,100,cdn2.buenosaires.gob.ar/baobras/corporacionsur2/Ejecuci%C3%B3ndecalledeenlaceentreelCHPyAv.Asturias_foto1.jpg,MaquivialS.A.I,2016,Contratacion Directa,29-CBAS-2016,30548939689,nan
Barrio Los Piletones,Barrio Los Piletones: Obras Complementarias De Infraestructura Y Puesta En Regimen En Barrio Piletones Y Barrio Ramon Carrillo,Finalizada,Hidraulica E Infraestructura,Corporacion Buenos Aires Sur,Mejoras En El Tendido A Fin De Poner En Funcionamiento Las Redes De Cloaca Y Agua Del Barrio Los Piletones,3268701.0,8,villa soldati,"lacarra av. y barros pazos, jose","-34,66362299","-58,45160937",2016-12-28,2017-02-26,2,100,cdn2.buenosaires.gob.ar/baobras/corporacionsur4/Obrascomplementarias%20de%20infraestructura_foto1.jpg,C&EConstruccionesS.A.,2016,Contratacion Directa,28-CBAS-2016,30708288361,nan
Obras Comuna 8,Obras Comuna 8: Remodelacion De Viviendas Incendiadas En El Conjunto Habitacional 180 Viviendas Sito En Av. Fernandez De La Cruz Y Av. Lacarra,Finalizada,Arquitectura,Corporacion Buenos Aires Sur,"Mejoras Generales En Viviendas: Revoques, Pisos, Pintura, Instalaciones, Aberturas Y Techos",1016896.0,8,villa soldati,"fernandez de la cruz, f., gral. av. y lacarra av.","-34,66492169","-58,44995894",2016-11-21,2017-02-19,3,100,cdn2.buenosaires.gob.ar/baobras/corporacionsur/Remodelaci%C3%B3ndeviviendasincendiadasenelCH180viv_foto1.jpg,COOPAARLTDA,2016,Contratacion Directa,27-CBAS-2016,30708899727,nan
Obras Comuna 8,"Obras Comuna 8: Retiro De Autos Abandonados, Muebles Y Chatarra En Predio De Futura Apertura Sito En La Calle San Pedrito Entre 27 De Febrero Y Calle Cook",Finalizada,Hidraulica E Infraestructura,Corporacion Buenos Aires Sur,Retiro De Materiales Existentes En Predio Judicial A Fin De Realizar La Apertura De La Calle San Pedrito,749302.0,8,villa soldati,"san pedrito y cooke, john w.","-34,66817971","-58,43285736",2016-08-20,2016-09-19,1,100,cdn2.buenosaires.gob.ar/baobras/corporacionsur4/Retirodeautosmueblesychatarra_foto1.jpg,ElProgresoLtdaHubac,2016,Contratacion Directa,25-CBAS-2016,30710270550,nan
Barrio Los Piletones,Barrio Los Piletones: Tendido Electrico - Gabinete De Tablero Y Alumbrado,Finalizada,Hidraulica E Infraestructura,Corporacion Buenos Aires Sur,"Gabinete De Tablero Seccional, Alumbrado Y Tendido Electrico En Ch Piletones",110918.0,8,villa soldati,plumerillo y asturias av (no oficial),"-34,66580568","-58,45636583",2016-09-09,2016-09-10,0,100,cdn2.buenosaires.gob.ar/baobras/corporacionsur/Tendidoelectrico-gabinetetableroyalumbradoCHPiletones_foto1.jpg,ANTONIOALAKLTDA,2016,Contratacion Directa,24-CBAS-2016,30709930385,nan
Obras Comuna 8,"Obras Comuna 8: Reconstruccion De Las Unidades Funcionales 29, 30, 49 Y 50 Del Ch Nestor Kirchner",Finalizada,Arquitectura,Corporacion Buenos Aires Sur,"Mejoras Generales En Viviendas: Revoques, Pisos, Pintura, Instalaciones, Aberturas Y Techos",1760971.0,8,villa lugano,escalada av. 4551,"-34,6784342","-58,45262009",2016-11-08,2016-12-24,2,100,cdn2.buenosaires.gob.ar/baobras/corporacionsur/Reconstrucci%C3%B3nUF29%2C30%2C49y50delCHNKirchner_foto1.jpg,ElProgresoLtdaHubac,2016,Contratacion Directa,21-CBAS-2016,30710270550,nan
Obras Comuna 8,Obras Comuna 8: Tendido De Alimentadores Electricos Oficinas Cbas - Edificio Cis,Finalizada,Hidraulica E Infraestructura,Corporacion Buenos Aires Sur,"Independizacion De Tableros, Circuitos Y Alimentadores Del Cbas Con El Cis",763546.0,8,villa soldati,"rabanal, francisco, intendente av. 3220","-34,66562943","-58,43899026",2016-09-05,2017-06-04,9,100,cdn2.buenosaires.gob.ar/baobras/corporacionsur/Tendidodealimentadoresel%C3%A9ctricosoficinaCBAS-EdificioCIS_foto1.jpg,BuildingCoS.R.L,2016,Contratacion Directa,13-CBAS-2016,30708969881,nan
Parque Roca,Parque Roca: Remodelacion De Cocina Del Sector Tenis - Acceso C - Parque Roca,Finalizada,Arquitectura,Corporacion Buenos Aires Sur,"Pisos, Revestimientos, Mesada, Cielorrasos, Pintura",356879.0,8,villa soldati,"roca, cnel. av. 4490","-34,67659628","-58,44815456",2016-09-09,2016-11-08,2,100,cdn2.buenosaires.gob.ar/baobras/corporacionsur/P.RocaRemodelaci%C3%B3ncocinadelsectorTenis-AccesoC_foto1.jpg,FacoS.A,2016,Contratacion Menor,06-CBAS-2016,30712463887,nan
Distrito Del Deporte,Distrito Del Deporte: Cerco Perimetral De Cancha De Futbol - Club Social Cultural Y Deportivo Unidos De Mataderos - Av. Eva Peron 7164,Finalizada,Espacio Publico,Corporacion Buenos Aires Sur,"Cercos, Alumbrado Y Accesos",315201.0,8,villa lugano,"peron, eva av. 7164","-34,67231662","-58,49847421",2016-07-26,2016-09-24,2,100,cdn2.buenosaires.gob.ar/baobras/corporacionsur2/Cercoperimetraldecanchadefutbol-ClubSocialCulturalyDeportivoUnidosdeMataderos_foto1.jpg,JorgeCanellesLtda,2016,Contratacion Menor,05-CBAS-2016,30708832959,nan
Distrito Del Deporte,Distrito Del Deporte: Construccion De Sanitarios Para Personal De Boleteria - Club San Lorenzo De Almagro,Finalizada,Arquitectura,Corporacion Buenos Aires Sur,"Tendido Cloacal Y Agua, Pisos, Sanitarios, Iluminacion, Aberturas Y Pintura",623000.0,7,flores,"fernandez de la cruz, f., gral. av. 2145","-34,65443492","-58,43647585",2016-12-12,2017-10-02,0,100,cdn2.buenosaires.gob.ar/baobras/corporacionsur/Construcci%C3%B3ndesanitariosparaboleteria-ClubSanLorenzodeAlmagro_foto1.jpg,CylpS.A,2016,Licitacion Privada,05-CBAS-2016,30567789000,nan
Ctc,Ctc: Obras Complementarias De La Construccion De Un Acceso Provisorio Al Ctc - Traza Parcial Futura Rama 8,Finalizada,Hidraulica E Infraestructura,Corporacion Buenos Aires Sur,"Vereda De Homigon Escobado, Traslado De Luminarias, Trasplante De Arboles, Reconstruccion De Cero Olimpico",820006.0,8,villa soldati,27 de febrero av. y autopista presidente hector j. campora,"-34,67290741","-58,43540071",2016-11-11,2017-03-11,4,100,cdn2.buenosaires.gob.ar/baobras/corporacionsur/ObrascomplementariasaccesoprovisorioCTC_foto1.jpg,MaquivialS.A.I,2016,Licitacion Privada,04-CBAS-2016,30548939689,nan
Ctc,Ctc: Construccion De Un Acceso Provisorio Al Centro De Transferencia De Cargas-Traza Parcial Futura Rama 8-Elaboracion De Proyecto Ejecutivo Y Pavimentacion,Finalizada,Hidraulica E Infraestructura,Corporacion Buenos Aires Sur,Ejecucion De Rampa De Acceso Al Ctc En Hormigon,4791914.0,8,villa soldati,27 de febrero av. y autopista presidente hector j. campora,"-34,66387311","-58,46923808",2016-11-11,2017-04-24,5,100,cdn2.buenosaires.gob.ar/baobras/corporacionsur/Construcci%C3%B3naccesoprovisorioCTC_foto1.jpg,MaquivialS.A.I,2016,Licitacion Privada,03-CBAS-2016,30548939689,nan
Ctc,Ctc: Modificacion De La Interseccion De La Av. 27 De Febrero Con La Calle Pergamino,Finalizada,Hidraulica E Infraestructura,Corporacion Buenos Aires Sur,"Pavimentos, Semaforos, Iluminacion",3672574.0,8,villa soldati,27 de febrero av. y pergamino,"-34,67059018","-58,43239778",2016-09-21,2016-12-10,0,100,cdn2.buenosaires.gob.ar/baobras/corporacionsur/Intersecci%C3%B3nAv27defebreroconPergaminoCTC_foto1.jpg,FacoS.A,2016,Licitacion Privada,01-CBAS-2016,30712463887,nan
Barrio Los Piletones,Barrio Los Piletones: Adecuacion Y Refaccion Edilicia De Incubadora De Empresas De Base Social - Barrio Los Piletones,Finalizada,Arquitectura,Corporacion Buenos Aires Sur,"Tendido Electrico Y Arreglos Generales De Albanileria, Pintura Y Carpinterias",3808672.0,8,villa soldati,"barros pazos, jose y lacarra av.","-34,66362299","-58,45160937",2016-09-19,2017-03-18,6,100,cdn2.buenosaires.gob.ar/baobras/corporacionsur/Adecuaci%C3%B3nyrefacci%C3%B3nediliciadeIncubadoraB%C2%BAPiletones_foto1.jpg,BuildingCoS.R.L,2016,Licitacion Publica,01-CBAS-2016,30708969881,nan
Autodromo Oscar Y Alfredo Galvez,Autodromo Oscar Y Alfredo Galvez: Nuevo Vallado Circuito 12 - Obra Civil - Autodromo De La Ciudad D Buenos Aires,Finalizada,Espacio Publico,Corporacion Buenos Aires Sur,Se Trata De Una Mejora En Las Condiciones Del Suelo A Fin De Asentar Muros De Contencion Para Mejorar La Seguridad De La Pista Del Autodromo,11468882.0,8,villa riachuelo,"paz, gral. av. y roca, cnel. av.","-34,69800182","-58,4698263",2017-02-08,2017-03-25,0,100,cdn2.buenosaires.gob.ar/baobras/corporacionsur/Autodromo-NuevovalladoCircuito12_foto1.jpg,ArcoS.R.L,2017,Contratacion Directa,50-CBAS-2016,30657249765,nan
Barrio Los Piletones,Barrio Los Piletones: Pavimentacion Con Concreto Asfaltico De Calle Vehicular Continuacion Calle Plumerillo - BAdeg Los Piletones,Finalizada,Hidraulica E Infraestructura,Corporacion Buenos Aires Sur,"Ejecucion De Fresado De Pavimentacion Existente, Ejecucion De Nuevo Pavimento De Concreto Asfaltico, Canerias De Desagi 1/4es Pluviales",2715512.0,8,villa soldati,plumerillo y asturias av (no oficial),"-34,66580568","-58,45636583",2017-02-02,2017-03-04,1,100,cdn2.buenosaires.gob.ar/baobras/corporacionsur/Pavimentaci%C3%B3ncallePlumerillo_foto1.jpg,MaquivialS.A.I,2017,Contratacion Directa,49-CBAS-2016,30548939689,nan
Distrito De Las Artes,Distrito De Las Artes: Adaptacion De Predio Para Traslado De Transformadores - Plaza Usina Del Arte,Finalizada,Espacio Publico,Corporacion Buenos Aires Sur,Se Trata De Una Obra Para Mejorar Las Condiciones Del Predio Donde Se Trasladaran Los Transformadores Eletricos Ubicados En El Panol Que Posteriormente Sera Intervenido Como Plaza Verde Usina Del Arte,254512.0,4,barracas,don pedro de mendoza av. 3951,"-34,65509091","-58,37290949",2017-03-29,2017-04-28,1,100,cdn2.buenosaires.gob.ar/baobras/corporacionsur/Adaptaci%C3%B3npredioparatrasladotransformadores_foto1.jpg,OznerolS.A.,2017,Contratacion Directa,48-CBAS-2016,30714746371,nan
Distrito Del Deporte,Distrito Del Deporte: Construccion De Muro Perimetral - Asociacion Civil Nueva Estrella,Finalizada,Arquitectura,Corporacion Buenos Aires Sur,Ejecucion De Muro Perimetral De 117 Ml Y 3 Mts De Altura,1600495.0,8,villa lugano,santander 4602,"-34,66320161","-58,47429755",2017-02-22,2017-08-05,0,100,cdn2.buenosaires.gob.ar/baobras/corporacionsur/muroperimetral-Asoc.Nueva%20Estrella_foto1.jpg,A.E.PonceIngenieriaS.A.,2017,Contratacion Directa,47-CBAS-2016,30714763098,nan
Obras Comuna 4,Obras Comuna 4: Recambio De Cubierta En Quincho Darling Tennis Club,Finalizada,Arquitectura,Corporacion Buenos Aires Sur,"Cambio De Techo Vegetal Por Chapas De Acero, Colocacion De Vidrios En Timpanos De La Cubierta",1299141.0,4,la boca,brasil av. 34,"-34,625127","-58,36367961",2017-05-18,2017-07-02,0,100,cdn2.buenosaires.gob.ar/baobras/corporacionsur/Recambiodecubiertaenquincho-DarlingTenisClub_foto1.jpg,CylpS.A,2017,Contratacion Directa,46-CBAS-2016,30567789000,nan
Distrito Del Deporte,Distrito Del Deporte: Anexo Club Torino - Mejoras En Cancha De Futbol,Finalizada,Arquitectura,Corporacion Buenos Aires Sur,"Realizacion De Piso De Hormigon Llaneado, Pintura De Demarcacion, Pintura De Paredes Interiores, Reaparicion De Canaletas Pluviales, Iluminacion",1366669.0,8,villa lugano,zuviria 4659,"-34,66111084","-58,47704348",2017-01-16,2017-04-16,3,100,cdn2.buenosaires.gob.ar/baobras/corporacionsur/canchadefutblol-AnexoClubTorino_foto1.jpg,JorgeCanellesLtda,2017,Contratacion Directa,45-CBAS-2016,30708832959,nan
Buenos Aires Playa 2017,Buenos Aires Playa 2017: Parque Indoamericano - Instalacion Electrica,Finalizada,Espacio Publico,Corporacion Buenos Aires Sur,Ejecucion De Playa Seca Para Programa Bs As Playa 2017,72934.0,8,villa soldati,escalada av. y castanares av.,"-34,66498561","-58,46938912",2016-12-28,2017-07-01,6,100,cdn2.buenosaires.gob.ar/baobras/corporacionsur/BsAsPlaya2017-ParqueIndoamericanoInst.Electrica_foto1.jpg,MartinezCesarJavier,2017,Contratacion Directa,44-CBAS-2016,20273633325,nan
Buenos Aires Playa 2017,Buenos Aires Playa 2017: Parque Indoamericano - Mantenimiento,Finalizada,Espacio Publico,Corporacion Buenos Aires Sur,Ejecucion De Playa Seca Para Programa Bs As Playa 2017,375210.0,8,villa soldati,escalada av. y castanares av.,"-34,69843499","-58,4706449",2017-01-05,2017-02-27,1,100,,ELPRESENTELTDA,2017,Contratacion Directa,43-CBAS-2016,30714459631,nan
Plazas y Parques de Comuna 13,Plaza Noruega,Finalizada,Espacio Publico,Subsecretaria de Gestion Comunal,"Se llevo a cabo la puesta en valor de la Plaza Noruega. Se aumento la superficie verde con plantaciones nuevas, se mejoraron los caminos internos y se crearon espacios de descanso, y se adquirio nuevo equipamiento urbano.",9681112.0,13,belgrano,ciudad de la paz y juramento av.,"-34,56261316","-58,45767591",2017-10-16,2017-08-31,0,100,https://cdn2.buenosaires.gob.ar/baobras/editadas2/ssgc_comuna13_plazanoruega_foto1.jpg,DagresaVialConstruccionesSRL,2017,nan,nan,33712269079,nan
Barrio 26 De Junio,Barrio 26 De Junio: Rejas Perimetrales Centro Parroquial - Barrio 33 Viviendas,Finalizada,Espacio Publico,Corporacion Buenos Aires Sur,Se Trata De Una Reja Que Dividira El Acceso Cpi Del Centro Parroquial.,755445.0,8,villa soldati,portela y riestra av.,"-34,65599463","-58,45069775",2017-01-17,2017-03-18,2,100,cdn2.buenosaires.gob.ar/baobras/corporacionsur/RejasperimetralescentroparroquialB%C2%BA33viv._foto1.jpg,SOLYEWENLTDA,2017,Contratacion Directa,36-CBAS-2016,30709272981,nan
Barrio 26 De Junio,Barrio 26 De Junio: Obras De Tendido De Agua Potable (Infraestructura) Complejo Habitacional 33 Viviendas,Finalizada,Hidraulica E Infraestructura,Corporacion Buenos Aires Sur,Se Trata Del Tendido De La Obra De Infraestructura (Anillo Perimetral) Para Abastecer De Agua Al Barrio.,2275049.0,8,villa soldati,portela y riestra av.,"-34,65599463","-58,45069775",2017-03-14,2017-04-13,1,100,cdn2.buenosaires.gob.ar/baobras/corporacionsur/TendidodeAguaPotable33viv._foto1.jpg,KoparS.A,2017,Contratacion Directa,35-CBAS-2016,30707504990,nan
Barrio Los Piletones,Barrio Los Piletones: Cercado Y Mejoramiento - Plaza Mz 191 - Ch Piletones,Finalizada,Espacio Publico,Corporacion Buenos Aires Sur,Se Trata De Realizar Una Reja Perimetral A Fin De Mantener En Optimo Estado La Plaza Y Evitar Vandalismos,950170.0,8,villa soldati,6 de agosto 4000 y 14 de mayo 3000,"-34,66260752","-58,45325321",2016-12-29,2017-01-28,1,100,cdn2.buenosaires.gob.ar/baobras/corporacionsur/Cercadoymejoramiento-PlazaMz191CHP_foto1.jpg,LOSPILETONESLTDA,2017,Contratacion Directa,32-CBAS-2016,30710477910,nan
Obras Comuna 1,Obras Comuna 1: Restauracion Del Frente Luis Saenz Pena No 1620- Caba,Finalizada,Vivienda,Corporacion Buenos Aires Sur,"Puesta En Valor De La Fachada Del Edificio Ubicado En La Calle Luis Saenz Pena 1620, El Cual Presenta Una Catalogacion Singular, Con Proteccion Cautelar Y Se Encuentra Protegido Por La Ley 3065 Por Tratarse De Un Edificio Anterior Al 1941. Las Tareas A Desarrollarse Consisten En La Consolidacion Y Restitucion De Ornamentos, Reparacion Y Limpieza De Fachadas Y Pintura De Superficie De Fachada Plana Sin Ornamentacion Ni Elementos Decorativos, Ademas De La Reparacion Y Pintura De Carpinterias Y Herreria",422723.0,1,constitucion,"saenz pena, luis, pres. 1620","-34,62753311","-58,38710454",2017-04-21,2017-07-20,3,100,cdn2.buenosaires.gob.ar/baobras/corporacionsur/Restauraci%C3%B3ndefrenteLuisSaenzPe%C3%B1a1620_foto1.jpg,LumiConstruccionesS.A.,2017,Contratacion Directa,09-CBAS-2017,30711229899,nan
Barrio Los Piletones,Barrio Los Piletones: Saneamiento Y Relleno Pileton - Barrio Los Piletones,Finalizada,Espacio Publico,Corporacion Buenos Aires Sur,"Conisite En La Demolicion De Losas, Vaciado, Saneamiento Y Relleno De Las Viejas Piletas, Las Cuales Dan El Nombre A Barrio. Los Mismos Se Encuentran Ubicados En La Manzana 4 Del Barrio Los Piletones.",937131.0,8,villa soldati,mujeres luchadoras 2850 y esperanza,"-34,66260752","-58,45325321",2017-05-04,2017-05-05,1,100,cdn2.buenosaires.gob.ar/baobras/corporacionsur/SaneamientoyrellenoPileton_foto1.JPG,ElProgresoLtdaHubac,2017,Contratacion Directa,10-CBAS-2017,30710270550,nan
Autodromo Oscar Y Alfredo Galvez,Autodromo Oscar Y Alfredo Galvez: Puesta En Valor Autodromo De Bs. As. Oscar Y Juan Galvez - Intervencion Platea B,Finalizada,Espacio Publico,Corporacion Buenos Aires Sur,La Obra Consiste En La Puesta En Valor Del Autodromo De La Ciudad De Bs. As. Las Tareas A Ejecutar Corresponden A La Puesta En Valor De La Platea B.,3086742.0,8,villa riachuelo,"paz, gral. av. y roca, cnel. av.","-34,69800182","-58,4698263",2017-11-07,2017-10-08,1,100,cdn2.buenosaires.gob.ar/baobras/corporacionsur/Autodromo-PlateaB_foto1.jpg,KavosS.A.,2017,Contratacion Directa,13-CBAS-2017,33707144829,nan
Autodromo Oscar Y Alfredo Galvez,Autodromo Oscar Y Alfredo Galvez: Puesta En Valor Autodromo De Bs. As. Oscar Y Juan Galvez - Intervencion Escaleras,Finalizada,Espacio Publico,Corporacion Buenos Aires Sur,"La Obra Consiste En La Puesta En Valor Del Autodromo De La Ciudad De Bs. As. Las Tareas A Ejecutar Corresponden A La Puesta En Valor De Las Escaleras De Tribunas, Plateas Y Palcos.",1528495.0,8,villa riachuelo,"paz, gral. av. y roca, cnel. av.","-34,69800182","-58,4698263",2017-10-07,2017-08-24,0,100,cdn2.buenosaires.gob.ar/baobras/corporacionsur/Autodromo-Escaleras_foto1.jpg,PiedraRobleS.A,2017,Contratacion Directa,14-CBAS-2017,30715288318,nan
Autodromo Oscar Y Alfredo Galvez,Autodromo Oscar Y Alfredo Galvez: Puesta En Valor Autodromo De Bs. As. Oscar Y Juan Galvez - Intervencion Palco A,Finalizada,Espacio Publico,Corporacion Buenos Aires Sur,La Obra Consiste En La Puesta En Valor Del Autodromo De La Ciudad De Bs. As. Las Tareas A Ejecutar Corresponden A La Puesta En Valor De La Palco A.,1283329.0,8,villa riachuelo,"paz, gral. av. y roca, cnel. av.","-34,69800182","-58,4698263",2017-06-15,2017-07-15,1,100,cdn2.buenosaires.gob.ar/baobras/corporacionsur/Autodromo-PalcoA_foto1.jpg,ArcoS.R.L,2017,Contratacion Directa,15-CBAS-2017,30657249765,nan
Autodromo Oscar Y Alfredo Galvez,Autodromo Oscar Y Alfredo Galvez: Puesta En Valor Autodromo De Bs. As. Oscar Y Juan Galvez - Intervencion Tribunas De 1 A 4,Finalizada,Espacio Publico,Corporacion Buenos Aires Sur,La Obra Consiste En La Puesta En Valor Del Autodromo De La Ciudad De Bs. As. Las Tareas A Ejecutar Corresponden A La Puesta En Valor De Las Tribunas 1 A 4,4614679.0,8,villa riachuelo,"paz, gral. av. y roca, cnel. av.","-34,69800182","-58,4698263",2017-06-19,2017-08-18,2,100,cdn2.buenosaires.gob.ar/baobras/corporacionsur/Autodromo-Tribunas1a4_foto1.jpg,ArcoS.R.L,2017,Contratacion Directa,16-CBAS-2017,30657249765,nan
Autodromo Oscar Y Alfredo Galvez,Autodromo Oscar Y Alfredo Galvez: Puesta En Valor Autodromo De Bs. As. Oscar Y Juan Galvez - Intervencion Tribunas De 5 A 9,Finalizada,Espacio Publico,Corporacion Buenos Aires Sur,La Obra Consiste En La Puesta En Valor Del Autodromo De La Ciudad De Bs. As. Las Tareas A Ejecutar Corresponden A La Puesta En Valor De Las Tribunas 5 A 9,4998364.0,8,villa riachuelo,"paz, gral. av. y roca, cnel. av.","-34,69800182","-58,4698263",2017-06-16,2017-08-30,0,100,cdn2.buenosaires.gob.ar/baobras/corporacionsur/Autodromo-Tribunasde5a9_foto1.jpg,ArcoS.R.L,2017,Contratacion Directa,17-CBAS-2017,30657249765,nan
Autodromo Oscar Y Alfredo Galvez,Autodromo Oscar Y Alfredo Galvez: Puesta En Valor Autodromo De Bs. As. Oscar Y Juan Galvez - Intervencion Tribunas De 10 A 15,Finalizada,Espacio Publico,Corporacion Buenos Aires Sur,La Obra Consiste En La Puesta En Valor Del Autodromo De La Ciudad De Bs. As. Las Tareas A Ejecutar Corresponden A La Puesta En Valor De Las Tribunas 10 A 15,4557686.0,8,villa riachuelo,"paz, gral. av. y roca, cnel. av.","-34,69800182","-58,4698263",2017-07-07,2017-05-09,2,100,cdn2.buenosaires.gob.ar/baobras/corporacionsur/Autodromo-Tribunasde10a15_foto1.jpg,MelContruccionesS.R.L,2017,Contratacion Directa,18-CBAS-2017,33714510679,nan
Autodromo Oscar Y Alfredo Galvez,Autodromo Oscar Y Alfredo Galvez: Puesta En Valor Autodromo De Bs. As. Oscar Y Juan Galvez - Intervencion Platea A,Finalizada,Espacio Publico,Corporacion Buenos Aires Sur,La Obra Consiste En La Puesta En Valor Del Autodromo De La Ciudad De Bs. As. Las Tareas A Ejecutar Corresponden A La Puesta En Valor De La Platea A.,4093977.0,8,villa riachuelo,"paz, gral. av. y roca, cnel. av.","-34,69800182","-58,4698263",2017-12-06,2017-07-27,0,100,cdn2.buenosaires.gob.ar/baobras/corporacionsur/Autodromo-PlateaA_foto1.jpg,FacoS.A,2017,Contratacion Directa,19-CBAS-2017,30712463887,nan
Autodromo Oscar Y Alfredo Galvez,Autodromo Oscar Y Alfredo Galvez: Puesta En Valor Autodromo De Bs. As. Oscar Y Juan Galvez - Intervencion Sanitarios,Finalizada,Espacio Publico,Corporacion Buenos Aires Sur,La Obra Consiste En La Puesta En Valor Del Autodromo De La Ciudad De Bs. As. Las Tareas A Ejecutar Corresponden A La Puesta En Valor De Los Sanitarios.,1875949.0,8,villa riachuelo,"paz, gral. av. y roca, cnel. av.","-34,69800182","-58,4698263",2017-08-23,2017-11-21,3,100,cdn2.buenosaires.gob.ar/baobras/corporacionsur/Autodromo-Sanitarios_foto1.jpg,A.E.PonceIngenieriaS.A.,2017,Contratacion Directa,20-CBAS-2017,30714763098,nan
Autodromo Oscar Y Alfredo Galvez,Autodromo Oscar Y Alfredo Galvez: Puesta En Valor Autodromo De Bs. As. Oscar Y Juan Galvez - Intervencion Palco B,Finalizada,Espacio Publico,Corporacion Buenos Aires Sur,La Obra Consiste En La Puesta En Valor Del Autodromo De La Ciudad De Bs. As. Las Tareas A Ejecutar Corresponden A La Puesta En Valor De La Palco B.,1283329.0,8,villa riachuelo,"paz, gral. av. y roca, cnel. av.","-34,69800182","-58,4698263",2017-06-15,2017-07-15,1,100,,ArcoS.R.L,2017,Contratacion Directa,21-CBAS-2017,30657249765,nan
Autodromo Oscar Y Alfredo Galvez,Autodromo Oscar Y Alfredo Galvez: Puesta En Valor Autodromo De Bs. As. Oscar Y Juan Galvez - Estructura Para Lonas En Escaleras,Finalizada,Espacio Publico,Corporacion Buenos Aires Sur,La Obra Consiste En La Puesta En Valor Del Autodromo De La Ciudad De Bs. As. Las Tareas A Ejecutar Corresponden Al Montaje De Estructuras Soporte Lonas En Escaleras,2615466.0,8,villa riachuelo,"paz, gral. av. y roca, cnel. av.","-34,69800182","-58,4698263",2017-10-07,2017-08-29,0,100,cdn2.buenosaires.gob.ar/baobras/corporacionsur/Autodromo-EstructuraparalonasenEscaleras_foto1.JPG,PiedraRobleS.A,2017,Contratacion Directa,22-CBAS-2017,30715288318,nan
Autodromo Oscar Y Alfredo Galvez,Autodromo Oscar Y Alfredo Galvez: Puesta En Valor Autodromo De Bs. As. Oscar Y Juan Galvez - Cama De Hormigon Triturado a Circuito No 12 a Obra Civil,Finalizada,Espacio Publico,Corporacion Buenos Aires Sur,"La Obra Consiste En La Remocion Y Limpieza De Suelo Vegetal, En La Zona De La Curva Principal, Excavacion Y Armado Del Cajon Para Colocacion Del Material, Dicho Desmonte Es De Aproximadamente 0,20 M. En Toda La Superficie De La Curva, Para Luego Realiza Colocacion Del Hormigon Triturado Y Distribucion En Forma Superficial Y Pareja De 0,25 M De Espesor Aproximadamente.",7346340.0,8,villa riachuelo,"paz, gral. av. y roca, cnel. av.","-34,69800182","-58,4698263",2017-06-15,2017-07-15,1,100,cdn2.buenosaires.gob.ar/baobras/corporacionsur/Autodromo-CamadehormigontrituradoCircuito12_foto1.jpg,ArcoS.R.L,2017,Contratacion Directa,23-CBAS-2017,30657249765,nan
Autodromo Oscar Y Alfredo Galvez,Autodromo Oscar Y Alfredo Galvez: Puesta En Valor Autodromo De Bs. As. Oscar Y Juan Galvez - Intervencion Acceso,Finalizada,Espacio Publico,Corporacion Buenos Aires Sur,"La Obra Consiste En La Puesta En Valor Del Autodromo De La Ciudad De Bs. As. Reparacion, Pintura Y Reacondicionamiento General Del Acceso.",1649652.0,8,villa riachuelo,"paz, gral. av. y roca, cnel. av.","-34,69800182","-58,4698263",2017-11-07,2017-10-08,1,100,cdn2.buenosaires.gob.ar/baobras/corporacionsur/Autodromo-Acceso_foto1.jpg,IsofilS.A.I.YC.,2017,Contratacion Directa,24-CBAS-2017,30552340090,nan
